session,duration_s,actual_dur_s,window_idx,s_gnss,e_gnss,pos_err_gyro,pos_err_zupt,pos_err_hybrid,vel_err_gyro,vel_err_zupt,head_err_deg
S-Vw4.parquet,300,304.0,3,95009,98049,4175.891472133241,4237.326469570249,4101.109556468192,0.1706900277377481,0.7789861856021179,141.90919871491172
S-Vw4.parquet,300,306.1,4,100119,103180,6158.125245334003,6396.911233216395,5116.690112385573,1.2687883926346109,4.92454275916154,13.342751294891997
S-Vw4.parquet,300,306.0,5,27189,30249,10335.793828240547,6668.926574798278,6917.977228803745,44.715301615445256,7.852777777777778,155.58302561307607
S-Vw4.parquet,300,306.0,6,32679,35739,6898.807616660739,5568.971277311604,4670.743862805799,4.977777777777778,4.977777777777778,13.99525955266148
S-Vw4.parquet,300,304.0,7,82469,85509,7809.99270537588,3628.145718586207,2942.701060401638,50.6854761203485,0.4861111111111111,24.3490933538842
S-Vtb5.parquet,30,36.0,0,37713,38073,627.8858676926349,705.4579114054235,407.12355989585296,5.2051143481856865,6.2,42.686801668337836
S-Vtb5.parquet,30,36.0,1,28173,28533,295.4834097137144,540.914312352022,330.19840005269634,6.397173127400166,5.572222222222222,47.95643165504018
S-Vtb5.parquet,30,36.0,2,40413,40773,557.7231527382891,920.194538331703,609.5430974075416,7.3277311288291065,7.698422803276272,16.763293855950423
S-Vtb5.parquet,30,36.0,3,10523,10883,466.710665422798,520.3171027333543,253.32306601066136,3.708333333333333,3.708333333333333,17.082127659441426
S-Vtb5.parquet,30,36.0,4,29433,29793,639.6263237586154,980.0286818975621,685.763543463027,2.1603752963228766,7.3,16.977857151669753
S-Vtb5.parquet,30,36.0,5,8453,8813,79.15197502985201,295.0764539844648,123.70408338423394,10.2330868991167,1.2194444444444443,10.75792645272196
S-Vtb5.parquet,30,36.0,6,34113,34473,447.8906058275238,881.893019449957,477.80979468899517,11.207017885356782,6.761111111111111,19.15257456773216
S-Vtb5.parquet,30,36.0,7,51033,51393,648.5954255754041,887.6627256309922,461.2194438940111,0.26278396239459845,7.038888888888889,9.868139170353174
S-Vtb5.parquet,60,66.0,0,21213,21873,696.1164670027918,707.9093550766603,588.5950142775608,14.922288728234122,6.066666666666666,75.33712763845315
S-Vtb5.parquet,60,63.0,1,29253,29883,783.6765227303313,1658.5931419213205,1089.565586992519,10.770518160569992,7.897222222222222,20.41996123761436
S-Vtb5.parquet,60,63.0,2,45723,46353,752.5917682311748,1129.7001022549075,597.3663294597229,2.095756390665069,1.3083333333333333,20.68320756032989
S-Vtb5.parquet,60,63.0,3,30693,31323,1615.0864493738975,1750.0737774395654,1145.6512873331314,1.1178881442086537,6.226277553774056,11.00477253075934
S-Vtb5.parquet,60,63.1,4,32313,32944,1022.9745343734575,1595.4725908152998,949.308119578137,0.9508470952232644,7.677777777777778,37.119000482220315
S-Vtb5.parquet,60,63.0,5,34923,35553,1027.8966885089892,1540.988816893493,945.2990657469754,7.307625261240881,6.722222222222221,15.599123126305699
S-Vtb5.parquet,60,63.0,6,47883,48513,872.7624706202118,1253.144423527905,597.5523930849331,0.7616651664099603,5.894444444444444,7.950332068183968
S-Vtb5.parquet,60,63.0,7,52923,53553,1115.7585653944457,1565.1960865405767,1109.6848195431608,16.410681773307438,6.241666666666666,80.91144260721842
S-Vtb5.parquet,120,126.0,0,55263,56523,1910.8140251583718,3093.2484277307312,1706.0522986858357,4.94113794889632,6.388888888888888,45.463941378662014
S-Vtb5.parquet,120,126.0,1,15743,17003,1645.6176406467114,2067.8478460498945,1301.4993822341821,0.8899725214029472,3.944444444444444,108.81716149259277
S-Vtb5.parquet,120,126.0,2,41493,42753,2503.123457913308,3160.9273410858364,1983.1457416918106,5.870700907970459,6.594444444444444,72.32364173128435
S-Vtb5.parquet,120,126.0,3,31773,33033,2076.307106522098,3289.457942497914,2014.3304002884722,1.9361155453163956,7.697222222222222,69.44014674580578
S-Vtb5.parquet,120,126.0,4,8093,9353,19.04397745199037,1179.5619944276596,546.893547413127,17.952191641365125,2.8484450629446894,58.90525156164212
S-Vtb5.parquet,120,126.0,5,13763,15023,760.5575902022463,1657.3484644452794,636.2157233506448,8.233858877348455,4.661111111111111,70.9986766675816
S-Vtb5.parquet,120,126.0,6,43653,44913,2170.1169013230888,2864.611003794352,1158.349171162006,3.3662331199843396,6.019444444444445,1.425564885415298
S-Vtb5.parquet,120,126.0,7,52113,53373,2337.5017710453903,3175.9029525633982,1875.4821972648544,13.847425305596886,7.2,72.51173443285029
S-Vtb5.parquet,300,306.0,0,25113,28173,1794.8236229992915,2020.9420418220561,426.15101909241713,25.526014768452995,3.6527777777777777,4.938610514828156
S-Vtb5.parquet,300,306.0,1,38703,41763,7560.7594350522895,8085.555986526831,7100.4636147026895,0.50132600607526,7.722744289515988,101.60197385327803
S-Vtb5.parquet,300,300.0,2,17363,20363,947.6485188148514,3133.3092291648636,965.3985044966992,14.437939080571349,1.9583333333333333,56.50643932706913
S-Vtb5.parquet,300,306.0,3,35103,38163,619.8612784533632,3641.9726646969357,2046.8402656735743,2.5407278576458516,6.563888888888888,47.90087966274541
S-Vtb5.parquet,300,306.0,4,53553,56613,6086.916114511972,7010.957258924639,5404.337664292431,4.91817697192377,5.802777777777778,108.10194704224921
S-Vtb5.parquet,300,306.0,5,28443,31503,4041.4695498320775,7794.909033967143,4941.691120102987,16.65214299343205,7.9638888888888895,40.68827729315473
S-Vtb5.parquet,300,306.0,6,46173,49233,4092.822395006151,4875.99648254046,2519.767985505787,0.1580851891097934,4.597222222222222,16.58054494757843
S-Vtb5.parquet,300,306.0,7,8453,11513,2489.938713769421,3261.6383356441456,2097.1132684175373,18.97807507384828,3.3305555555555557,18.61405296117576
S-Vta1a.parquet,30,30.0,0,16770,17070,294.07191587259996,420.52548806772546,55.248655532461484,1.5624554030538622,3.6623313705139964,6.63746465850204
S-Vta1a.parquet,30,30.0,1,5960,6260,310.600985363506,536.5886048481398,76.69729765423651,2.1459605616292428,3.9972222222222222,22.767375222345095
S-Vta1a.parquet,30,30.0,2,8530,8830,35.79582257473819,421.73701114239884,156.79830612304343,21.29527911074698,6.788888888888889,7.8987737429500555
S-Vta1a.parquet,30,30.0,3,7500,7800,319.83738636808323,609.028244180202,211.2281078458657,7.265464048503245,5.05,4.855572326068113
S-Vta1a.parquet,30,30.0,4,10690,10990,202.91079200837035,653.9905181069953,231.95158986779134,11.406259336854765,4.3667304241190505,37.36589830872106
S-Vta1a.parquet,30,30.1,5,4020,4321,290.63613946689344,546.5623356667754,164.67463899823665,0.22242861408980907,5.656009053330937,5.572851215519677
S-Vta1a.parquet,30,30.0,6,9400,9700,394.5900572663281,509.9759235695455,167.09967260638575,1.4760997106456832,4.482914141031637,15.113365714475293
S-Vta1a.parquet,30,30.0,7,21480,21780,417.50682960961853,427.2511548510675,151.63936304220343,2.6667649623919263,3.9166666666666665,17.57569353490308
S-Vta1a.parquet,60,60.0,0,7120,7720,718.5953409756534,1226.3051376785245,747.6885465839139,23.490057278458934,5.230555555555555,35.12903935816246
S-Vta1a.parquet,60,60.0,1,16410,17010,825.5878962498549,912.1874512990396,759.5421725360983,0.995859168704015,3.9972222222222222,61.69618377416444
S-Vta1a.parquet,60,60.0,2,13610,14210,815.4325517930215,1047.8107029004223,587.0711966547738,4.01262391367023,1.2070293252977007,68.51627327581761
S-Vta1a.parquet,60,59.99,3,9450,10050,813.9343881973565,989.7003560056366,491.599055964353,0.04050123011339091,2.35,58.87493600767493
S-Vta1a.parquet,60,60.0,4,15390,15990,781.1675654826635,1044.2808518515828,343.89930709485753,1.2744467673771718,5.227777777777778,6.00146311475541
S-Vta1a.parquet,60,60.0,5,19970,20570,1120.3075071902542,723.5117839898659,368.48081834345965,51.435758531214944,1.3663944965564125,14.854486600919614
S-Vta1a.parquet,60,60.0,6,8170,8770,455.8762622306512,545.5891862496504,213.04780763515842,37.764210491280245,5.838888888888889,23.55981009868907
S-Vta1a.parquet,60,60.0,7,14220,14820,503.38425245034273,794.6601085127986,452.71031368604457,10.813135177882483,4.876625900204621,33.30271715866601
S-Vta1a.parquet,120,120.0,0,3630,4830,1872.8081741946187,2495.8244559548057,983.7426620894576,0.8076083654118618,6.281066168016813,12.715650818998341
S-Vta1a.parquet,120,120.1,1,12630,13831,1637.3678733653815,2074.011627555633,989.9262422828249,38.81878854547287,4.219444444444444,41.10829010222858
S-Vta1a.parquet,120,120.0,2,18000,19200,1861.637314434922,1551.564896511355,1059.7577184812392,27.719735359078395,4.172222222222222,89.68614983814734
S-Vta1a.parquet,120,120.0,3,9940,11140,2190.8412178849453,2388.679313749003,1553.7352971121632,64.02796644316619,4.652777777777778,13.924797683705947
S-Vta1a.parquet,120,120.0,4,8500,9700,795.1828553212939,1979.4349492490671,822.8232943515512,2.010740625000447,4.482914141031637,7.020576234667033
S-Vta1a.parquet,120,120.0,5,16120,17320,872.9066654596402,1453.9306108663795,502.1734704463492,2.1944444444444446,2.1944444444444446,84.94609388241497
S-Vta1a.parquet,120,120.0,6,6780,7980,1227.8477243423881,2187.830044551127,960.359721991837,46.06459169783142,2.1506616329240615,38.528093607919686
S-Vta1a.parquet,120,120.0,7,21480,22680,1665.3073954253846,1711.0053455372313,1153.4595496968802,3.5803203437714908,4.283532568861737,90.37047063890839
S-Vta1a.parquet,300,300.0,0,10860,13860,13998.34086621716,4983.864971604549,3398.8363831711886,101.97031671095564,2.008604925913948,105.19043675366845
S-Vta1a.parquet,300,300.0,1,19480,22480,16839.514893324606,1481.9628200741113,2309.7486699770297,41.20168859734543,4.968080042621207,165.0476135991139
S-Vta1a.parquet,300,300.0,2,14230,17230,2245.7509335846703,4409.314993066358,1517.417056938156,5.570014753973393,1.4055555555555554,74.70351363344668
S-Vta1a.parquet,300,300.0,3,3030,6030,4628.56319811118,5739.83481974141,3301.8539846180383,48.95626224237757,6.002777777777777,105.28771854703791
S-Vta1a.parquet,300,300.0,4,7830,10830,6525.750523698142,4593.799921498186,1983.32664454485,70.09052288841319,6.077787350460148,45.162443560359605
