session,duration_s,baseline,outage_start_s,pos_err_m,vel_err_ms,head_err_deg
S-Vw4.parquet,30,gyro_only,1963.2,168.22106669558752,11.271132303634626,95.61255118525074
S-Vw4.parquet,30,zupt_v1,1963.2,241.38489612113858,0.6379512808166083,95.61255118525074
S-Vw4.parquet,30,gyro_only,2103.6,208.86757064504766,17.02052013624801,49.74431029303102
S-Vw4.parquet,30,zupt_v1,2103.6,213.47305057965397,1.4666666666666668,49.74431029303102
S-Vw4.parquet,30,gyro_only,3044.2,388.79955736898285,11.85354521765198,53.63231250890411
S-Vw4.parquet,30,zupt_v1,3044.2,608.4390678378018,6.758333333333333,53.63231250890411
S-Vw4.parquet,30,gyro_only,5339.9,156.0487156975877,33.94468447351204,21.274506446859533
S-Vw4.parquet,30,zupt_v1,5339.9,796.2165731382896,7.524552085185289,21.274506446859533
S-Vw4.parquet,30,gyro_only,7312.7,739.8683122718356,7.9527777777777775,35.64587019630622
S-Vw4.parquet,30,zupt_v1,7312.7,777.0765176183542,7.9527777777777775,35.64587019630622
S-Vw4.parquet,30,gyro_only,4799.2,435.6257080744535,13.947361960846118,4.941285940679535
S-Vw4.parquet,30,zupt_v1,4799.2,847.7927691895577,6.756326835644762,4.941285940679535
S-Vw4.parquet,30,gyro_only,1555.1,567.9486175158744,3.8900834489851075,7.961142929472572
S-Vw4.parquet,30,zupt_v1,1555.1,569.1441153917675,4.466666666666666,7.961142929472572
S-Vw4.parquet,30,gyro_only,4941.0,460.43196543535714,23.31024634185645,34.47272208623835
S-Vw4.parquet,30,zupt_v1,4941.0,985.5535793298865,7.8797835527086635,34.47272208623835
S-Vw4.parquet,60,gyro_only,3090.5,439.74534413809516,9.040430824327945,57.1276573652746
S-Vw4.parquet,60,zupt_v1,3090.5,758.7701766810579,4.301951397297335,57.1276573652746
S-Vw4.parquet,60,gyro_only,3225.8,428.5418342656562,17.708585052641467,49.221904645262015
S-Vw4.parquet,60,zupt_v1,3225.8,710.5329943899355,0.5474623854166576,49.221904645262015
S-Vw4.parquet,60,gyro_only,10439.1,601.2539154652193,2.880042122436211,13.15390576847173
S-Vw4.parquet,60,zupt_v1,10439.1,699.8991708261707,2.880042122436211,13.15390576847173
