session,duration_s,actual_dur_s,baseline,outage_start_s,pos_err_m,vel_err_ms,head_err_deg
S-Vw4.parquet,30,36.0,gyro_only,3312.9,189.64514191160328,6.347623395208746,38.218302977730815
S-Vw4.parquet,30,36.0,zupt_v1,3312.9,519.1032193253455,3.9055555555555554,38.218302977730815
S-Vw4.parquet,30,36.1,gyro_only,4401.9,428.2799421785269,38.016393587793395,35.3203141340949
S-Vw4.parquet,30,36.1,zupt_v1,4401.9,1064.9682253829108,8.358333333333333,35.3203141340949
S-Vw4.parquet,30,36.0,gyro_only,5922.9,142.58196951504183,41.862089977147505,1.928613428936842
S-Vw4.parquet,30,36.0,zupt_v1,5922.9,1004.2287946418699,8.372222222222222,1.928613428936842
S-Vw4.parquet,30,36.0,gyro_only,4203.9,751.1190721640905,28.855263198794777,63.07739338349688
S-Vw4.parquet,30,36.0,zupt_v1,4203.9,926.1373766235853,8.816666666666666,63.07739338349688
S-Vw4.parquet,30,35.9,gyro_only,2152.0,339.2956864742337,1.5675543078580754,21.62582388650489
S-Vw4.parquet,30,35.9,zupt_v1,2152.0,424.0864590844162,3.9166666666666665,21.62582388650489
S-Vw4.parquet,30,35.9,gyro_only,6229.0,648.5487904100215,8.200982380687467,74.36124543908333
S-Vw4.parquet,30,35.9,zupt_v1,6229.0,927.1566526236835,7.174999999999999,74.36124543908333
S-Vw4.parquet,30,36.0,gyro_only,3933.9,536.994967287445,4.238939153317287,19.962681013611814
S-Vw4.parquet,30,36.0,zupt_v1,3933.9,872.0304015205171,9.258333333333333,19.962681013611814
S-Vw4.parquet,30,35.9,gyro_only,2341.0,685.5126911160335,6.041666666666666,15.97520330922427
S-Vw4.parquet,30,35.9,zupt_v1,2341.0,715.6615087802794,6.041666666666666,15.97520330922427
S-Vw4.parquet,60,63.0,gyro_only,7515.9,994.9515673491286,1.5837094816485626,61.58039156475296
S-Vw4.parquet,60,63.0,zupt_v1,7515.9,1132.9285764782126,6.116666666666666,61.58039156475296
S-Vw4.parquet,60,64.1,gyro_only,11214.9,359.9016629148946,1.3259936223472066,132.89168831429186
S-Vw4.parquet,60,64.1,zupt_v1,11214.9,185.09188650698036,3.5833333333333335,132.89168831429186
S-Vw4.parquet,60,63.0,gyro_only,8048.9,595.5532132521262,17.312857244188294,20.341393438949467
S-Vw4.parquet,60,63.0,zupt_v1,8048.9,1289.2106842077987,5.905555555555556,20.341393438949467
S-Vw4.parquet,60,63.0,gyro_only,6732.9,1588.900409776635,6.9285696032523285,27.479669214549034
S-Vw4.parquet,60,63.0,zupt_v1,6732.9,1745.087087963693,7.088881082727749,27.479669214549034
S-Vw4.parquet,60,63.0,gyro_only,6606.9,1502.483219014846,1.4131292145208079,73.24982769888427
S-Vw4.parquet,60,63.0,zupt_v1,6606.9,1684.641490687205,6.358333333333333,73.24982769888427
S-Vw4.parquet,60,63.1,gyro_only,5958.9,804.9435633353878,36.08214027672238,38.85342719952709
S-Vw4.parquet,60,63.1,zupt_v1,5958.9,1812.9623264063102,8.238888888888889,38.85342719952709
S-Vw4.parquet,60,63.0,gyro_only,2529.9,936.2188430720473,5.927843053854742,28.230652496216067
S-Vw4.parquet,60,63.0,zupt_v1,2529.9,1143.421828588983,4.572991997450603,28.230652496216067
S-Vw4.parquet,60,60.9,gyro_only,10813.1,211.93906008018843,11.656367762222565,66.29065803640603
S-Vw4.parquet,60,60.9,zupt_v1,10813.1,363.66450274195824,2.5777777777777775,66.29065803640603
S-Vw4.parquet,120,126.0,gyro_only,2880.9,1667.6419707225812,24.07248761694015,34.93108467209663
S-Vw4.parquet,120,126.0,zupt_v1,2880.9,2944.0889613401164,5.9395647463226195,34.93108467209663
S-Vw4.parquet,120,127.0,gyro_only,11178.9,393.7327959107724,14.792057107059552,119.25988736329157
S-Vw4.parquet,120,127.0,zupt_v1,11178.9,171.54431384125635,3.0527777777777776,119.25988736329157
S-Vw4.parquet,120,125.9,gyro_only,5356.0,5678.542902948569,98.01086862453914,158.7808048778293
S-Vw4.parquet,120,125.9,zupt_v1,5356.0,3729.3152561471816,7.708333333333333,158.7808048778293
S-Vw4.parquet,120,126.1,gyro_only,4068.9,1925.828164445019,4.0777777777777775,131.1391829292935
S-Vw4.parquet,120,126.1,zupt_v1,4068.9,2265.28596723607,4.0777777777777775,131.1391829292935
S-Vw4.parquet,120,127.1,gyro_only,1340.9,2553.0542318079933,30.984133898041538,104.72476780041183
S-Vw4.parquet,120,127.1,zupt_v1,1340.9,930.7409739275769,5.8805555555555555,104.72476780041183
S-Vw4.parquet,120,126.0,gyro_only,2169.9,519.6041627046968,36.11972890689145,36.28619205140427
S-Vw4.parquet,120,126.0,zupt_v1,2169.9,1628.5429882498418,3.411925935210658,36.28619205140427
S-Vw4.parquet,120,126.0,gyro_only,6498.9,956.5736472407176,14.405589839684565,32.69733769276422
S-Vw4.parquet,120,126.0,zupt_v1,6498.9,3364.454745929615,8.055555555555555,32.69733769276422
S-Vw4.parquet,120,126.0,gyro_only,3321.9,1482.5031071228982,2.593804265425839,69.37950589662626
S-Vw4.parquet,120,126.0,zupt_v1,3321.9,1811.3404787303577,2.084382658456356,69.37950589662626
S-Vw4.parquet,300,305.1,gyro_only,8843.9,4068.8148891619862,23.189651337889398,117.67174336043479
S-Vw4.parquet,300,305.1,zupt_v1,8843.9,119.01586067386286,3.0288591313571978,117.67174336043479
S-Vw4.parquet,300,305.9,gyro_only,4870.0,33789.548810794666,295.93780793363493,23.235648440973506
S-Vw4.parquet,300,305.9,zupt_v1,4870.0,8780.273493043043,8.533333333333333,23.235648440973506
S-Vw4.parquet,300,306.0,gyro_only,1656.9,2886.5857502644603,4.1382157470688234,26.104154595694126
S-Vw4.parquet,300,306.0,zupt_v1,1656.9,3009.4677919163382,5.0472222222222225,26.104154595694126
S-Vw4.parquet,300,304.0,gyro_only,9500.9,4175.891472133241,0.1706900277377481,141.90919871491172
S-Vw4.parquet,300,304.0,zupt_v1,9500.9,4237.326469570249,0.7789861856021179,141.90919871491172
S-Vw4.parquet,300,306.1,gyro_only,10011.9,6158.125245334003,1.2687883926346109,13.342751294891997
S-Vw4.parquet,300,306.1,zupt_v1,10011.9,6396.911233216395,4.92454275916154,13.342751294891997
S-Vw4.parquet,300,306.0,gyro_only,2718.9,10335.793828240547,44.715301615445256,155.58302561307607
S-Vw4.parquet,300,306.0,zupt_v1,2718.9,6668.926574798278,7.852777777777778,155.58302561307607
S-Vw4.parquet,300,306.0,gyro_only,3267.9,6898.807616660739,4.977777777777778,13.99525955266148
S-Vw4.parquet,300,306.0,zupt_v1,3267.9,5568.971277311604,4.977777777777778,13.99525955266148
S-Vw4.parquet,300,304.0,gyro_only,8246.9,7809.99270537588,50.6854761203485,24.3490933538842
S-Vw4.parquet,300,304.0,zupt_v1,8246.9,3628.145718586207,0.4861111111111111,24.3490933538842
S-Vtb5.parquet,30,36.0,gyro_only,3771.3,627.8858676926349,5.2051143481856865,42.686801668337836
S-Vtb5.parquet,30,36.0,zupt_v1,3771.3,705.4579114054235,6.2,42.686801668337836
S-Vtb5.parquet,30,36.0,gyro_only,2817.3,295.4834097137144,6.397173127400166,47.95643165504018
S-Vtb5.parquet,30,36.0,zupt_v1,2817.3,540.914312352022,5.572222222222222,47.95643165504018
S-Vtb5.parquet,30,36.0,gyro_only,4041.3,557.7231527382891,7.3277311288291065,16.763293855950423
