dist_true,pos_err,along_track,cross_track,head_err_deg
545.0016304594144,363.4476828012287,-360.00179221081663,-49.929227298072554,24.653716471763715
1086.518081035141,885.5325123430932,-885.4663483403156,10.824803625817552,6.690674565853155
1117.630484402444,929.6177816055904,-928.4630599286603,-46.32025717985783,24.770475195816225
1827.7903210738964,1497.5032102359621,-1497.0089482216263,-38.47172482995211,46.14858089226295
1826.9167970059377,1461.099200907085,-1461.0808806722293,7.316763313450679,29.92544797222606
1981.2426984425763,1643.5076161598538,-1643.4965355324034,-6.035069878037348,26.166302507334535
2966.5526703290943,2209.677626656369,-2206.542307163867,117.67013402593193,3.704189830575976
193.9700221371563,306.35821966865535,257.3799665927941,166.1653139353706,126.91391202911375
3785.7361050649038,3464.984457780666,-3449.513084684812,327.0730365680565,166.1651113452125
202.76404750605207,841.6331692926367,-282.33524109533835,792.8639248251905,87.29810193304306
9059.95062913931,7418.18914707624,-7415.986966039527,-180.741642494409,31.088282544944256
3085.1507765955284,2145.183134520326,-2137.97748598651,-175.6785417894061,127.20533439508321
705.4579114054235,535.3892075265562,-534.491072754255,30.99833353455628,22.56242886332819
546.8386461554843,444.8053161667231,-428.095070799613,-120.77408516421389,56.82011339887997
978.9772249913999,819.8118644574006,-819.1747470384712,-32.314500144303025,8.36440231306896
710.2303750731702,460.7359701634262,-460.7091452033512,-4.97169271284406,7.623381328981762
1658.5931419213205,1341.036882102798,-1340.7465018869193,-27.90585669681343,13.704613025274377
1136.985952362112,861.8595069001732,-860.908567914376,-40.475268076045886,23.036237950981725
3099.0966989246335,2398.1212431193953,-2397.953820759225,-28.336728935243627,21.26980272869045
2077.3013483339964,1499.1151537755247,-1499.062138387319,-12.607518909528721,59.623035632175316
3164.1850518711635,2516.916791228952,-2512.8440671549083,143.1252183740636,40.492604035000085
2060.6851506908033,1333.6020882561058,-1157.3300660749046,662.6323625964127,113.78276978666743
8096.436326562691,6579.812268143549,-6579.723396852779,34.19802509617893,15.666820045854198
3194.887859967816,2191.265121473155,-2110.102844434695,-590.854312409898,13.572450362212827
434.3502616558877,284.5407223081867,-284.4874035480732,-5.508164316752911,0.9643588166767982
538.8351501260395,398.4111515268048,-398.2708131947572,-10.573789202623786,24.79640181143301
426.4656199996393,286.02762369687315,-285.35495968207147,-19.604808148091095,17.190312174211154
1240.6898709346779,921.0945107055654,-920.678991313079,27.66392247415979,16.18771016396789
916.9282922081554,644.7649633267847,-644.7077218314225,-8.591352904356768,5.503718187523019
1090.6804825120323,819.8786185333379,-818.4933616542321,-47.63996280528471,42.91638761156959
2510.4263041592476,1909.634144717925,-1908.2112040134273,-73.70595328864904,2.1857619510197903
2137.8186279644024,1604.3535593557317,-1600.227200697601,-114.99238916087143,41.3478548621761
1620.1409670050487,1113.3832452301506,-1105.6139323718141,131.30149772396118,3.6753121020900674
5067.406696433338,3755.933625465595,-3754.965634611739,-85.26712020459638,34.68051656087966
1692.294426830064,1335.6961231104306,-899.1259939418295,-987.7532993163587,138.0248485818069
4506.49134079441,3180.347815302726,-3180.1672663833165,-33.88781676192639,28.068707581957984
