session,duration_s,actual_dur_s,window_idx,s_gnss,e_gnss,dist_travelled_m,pos_err_gyro,pos_err_zupt,pos_err_hybrid,pos_err_ekf,vel_err_gyro,vel_err_zupt,vel_err_ekf,head_err_gyro,head_err_ekf,drift_pct_gyro,drift_pct_zupt,drift_pct_hybrid,drift_pct_ekf
S-Vw4.parquet,30,36.0,0,33129,33489,545.0016304594144,189.64514191160328,519.1032193253455,187.36490475017067,539.6433377414858,6.347623395208746,3.9055555555555554,3.814071868962822,38.218302977730815,25.00980097978971,34.79716964364676,95.24801217342458,34.37877875562126,99.01682996555225
S-Vw4.parquet,30,36.1,1,44019,44380,1086.518081035141,428.2799421785269,1064.9682253829108,880.9812373426295,1084.7867552417868,38.016393587793395,8.358333333333333,8.327083863657176,35.3203141340949,34.07907189963982,39.41765440023774,98.01661325031063,81.08297990801094,99.84065375224085
S-Vw4.parquet,30,36.0,2,59229,59589,1117.630484402444,142.58196951504183,1004.2287946418699,771.7415600764316,1100.493501298971,41.862089977147505,8.372222222222222,8.29851371818328,1.928613428936842,20.81059012068818,12.757523305323511,89.85338254967108,69.05158465582241,98.46666824655956
S-Vw4.parquet,30,36.0,3,42039,42399,941.6986817146114,751.1190721640905,926.1373766235853,784.369396570973,938.8170568701775,28.855263198794777,8.816666666666666,8.782537545184375,63.07739338349688,81.69213615032976,79.7621454451311,98.34752820693211,83.29303330262935,99.69399714575503
S-Vw4.parquet,30,35.9,4,21520,21879,436.512084344165,339.2956864742337,424.0864590844162,93.87043749030927,438.43814693589877,1.5675543078580754,3.9166666666666665,3.8419616252633237,21.62582388650489,6.089733755582815,77.72881866123055,97.15342926223506,21.50465951735205,100.44123923731175
S-Vw4.parquet,30,35.9,5,62290,62649,936.3480589469449,648.5487904100215,927.1566526236835,596.3904527294122,931.780588758005,8.200982380687467,7.174999999999999,7.1404205317578695,74.36124543908333,86.1926408511467,69.26364445496965,99.01837716910543,63.69324387772397,99.51220380655495
S-Vw4.parquet,30,36.0,6,39339,39699,881.2117879907764,536.994967287445,872.0304015205171,532.0140919165174,875.9787481849606,4.238939153317287,9.258333333333333,8.075874098665546,19.962681013611814,33.90712836674505,60.93824147675447,98.9580953642037,60.373011251874665,99.40615413035412
S-Vw4.parquet,30,35.9,7,23410,23769,726.8332260566466,685.5126911160335,715.6615087802794,226.6391205174946,727.0019055812014,6.041666666666666,6.041666666666666,5.975173974293173,15.97520330922427,9.359834463032513,94.31499091410652,98.46296001945618,31.181722628050473,100.02320745922279
S-Vw4.parquet,60,63.1,0,60759,61390,1827.7903210738964,1008.4323700349703,1754.9504668157563,1406.4413894489862,1824.0772676597996,69.54316558893721,7.8805555555555555,7.771385801754467,52.46293287577467,51.727475136327634,55.17221304916846,96.01486814880693,76.94763306453271,99.7968556146027
S-Vw4.parquet,60,62.9,1,61570,62199,1826.9167970059377,713.2743248839996,1806.5893693919797,1106.138717130551,1824.685286788981,28.12773250079421,8.041666666666666,7.912301498599481,67.43044555125073,57.92187781923463,39.04251830477211,98.88733697958922,60.54674843120159,99.87785375772921
