t,v_true,v_ml,v_ml_raw,v_ekf_pre,v_ekf_post
33149,5.688888888888889,5.982486946105957,5.025486946105957,7.911310197960485,7.097477689283227
33159,5.688888888888889,4.978373748779297,4.021373748779297,6.92498327015521,6.084398026779885
33169,5.688888888888889,5.2989885635375975,4.341988563537598,6.03032315811373,5.71651028479389
33179,5.688888888888889,5.602256042480469,4.645256042480469,6.165758535107515,5.91839912695693
33189,5.688888888888889,5.589516860961914,4.632516860961914,6.059087374439424,5.855793784443357
33199,5.688888888888889,6.429180843353271,5.4721808433532715,5.706895161085174,6.015479695305729
33209,5.688888888888889,5.493644458770752,4.536644458770752,6.202297328088203,5.895526779587976
33219,4.983333333333333,4.7199082202911375,3.7629082202911377,5.243786887433122,5.015230201448309
33229,4.983333333333333,5.82823966217041,4.87123966217041,5.259079039934713,5.498818047204035
33239,4.983333333333333,5.330169422149658,4.373169422149658,4.049735767194789,4.580979294960468
33249,4.983333333333333,4.993083221435547,4.036083221435547,4.293162466754045,4.596367060925639
33259,4.983333333333333,4.245430452346802,3.2884304523468018,4.072456947264951,4.14883688935251
33269,4.983333333333333,4.954629165649414,3.997629165649414,3.7053345046026864,4.248712854983732
33279,4.983333333333333,4.760946018218994,3.803946018218994,3.225595363044702,3.87269297762988
33289,4.983333333333333,5.237828475952148,4.280828475952148,2.2447755817459862,3.4558250163866937
33299,4.983333333333333,5.538730365753174,4.581730365753174,3.8965108968062303,4.58724688764548
33309,2.9166666666666665,4.518124801635742,3.561124801635742,3.101477889360873,3.6993260668841295
33319,2.9166666666666665,4.180625421524048,3.223625421524048,1.3699567507543968,2.587112289537715
33329,2.9166666666666665,4.672932846069336,3.715932846069336,0.8383002029392885,1.5788427655474924
33339,2.9166666666666665,4.673820001602173,3.716820001602173,0.868419072341299,2.541246250458389
33349,2.9166666666666665,5.389523727416992,4.432523727416992,4.227797630148546,4.727812234873691
33359,2.9166666666666665,6.467383605957031,5.510383605957031,6.005645118032145,6.191438034967228
33369,2.9166666666666665,6.379589778900146,5.4225897789001465,5.871987325247157,6.079500377729163
33379,2.9166666666666665,6.385445816040039,5.428445816040039,6.528988599146106,6.4687784118745
33389,2.9166666666666665,5.939600688934326,4.982600688934326,6.886563560672986,6.4791826906374155
33399,2.9166666666666665,7.089670402526855,6.1326704025268555,6.470637645877719,6.738698390064065
33409,4.375,7.087575656890869,6.130575656890869,7.0592354385849365,7.071475855807996
33419,4.375,6.393427116394043,5.436427116394043,5.810736760621358,6.062880675919954
33429,4.375,5.704101306915283,4.747101306915283,4.8884450504197785,5.2373191896494005
33439,4.375,6.377113086700439,5.4201130867004395,4.551259492079787,5.351077215544287
33449,4.375,6.421550971984863,5.464550971984863,3.974980322606478,5.041242395568286
33459,4.375,6.262485725402832,5.305485725402832,3.4733064806170875,4.687443475549431
33469,4.375,6.411773902893066,5.454773902893066,3.9018808023785385,4.987844408372028
33479,4.375,5.136402828216553,4.179402828216553,3.8314404076518063,4.401057743325398
33489,3.9055555555555554,6.5997416801452635,5.642741680145264,3.26024019079979,4.731699308656758
44039,8.644444444444444,5.907793266296387,4.950793266296387,8.928309946666976,7.65172508389052
44049,8.644444444444444,5.5243561096191405,4.567356109619141,7.781906937517834,6.810673425299872
44059,8.644444444444444,5.95608447265625,4.99908447265625,6.60970707245968,6.328417107387105
44069,8.644444444444444,6.908748847961426,5.951748847961426,4.493927101500724,5.389824340988531
44079,8.644444444444444,6.292092067718506,5.335092067718506,4.780782789519366,5.387233222350901
44089,8.644444444444444,6.253359539031982,5.296359539031982,3.958932095676721,4.709098210874362
44099,8.644444444444444,6.589184028625488,5.632184028625488,4.081382216828899,5.024839837733389
44109,8.644444444444444,6.050136310577392,5.093136310577393,5.265454728974685,5.580181992897358
44119,8.2,5.608431083679199,4.651431083679199,5.760964791720766,5.697005041504158
44129,8.2,6.4842841453552245,5.527284145355225,5.329014495068874,5.808488141413708
44139,8.2,6.445872528076172,5.488872528076172,6.618623479052042,6.544469172361315
44149,8.2,7.122904998779297,6.165904998779297,6.012902883925387,6.493445164498029
44159,8.2,6.135814888000488,5.178814888000488,6.851524639278142,6.535644909165004
44169,8.2,6.8163430519104,5.8593430519104,6.843884121693021,6.8316225502004935
44179,8.2,6.077828628540039,5.120828628540039,6.6929744835611125,6.4226554348588945
44189,8.2,6.283387882232666,5.326387882232666,6.399121252469597,6.34889622948657
44199,8.319444444444445,5.473249656677246,4.516249656677246,5.7046884282709245,5.607234003090596
44209,8.319444444444445,5.074489337921142,4.117489337921143,4.464035424851833,4.7234320647551495
44219,8.319444444444445,6.941705448150635,5.984705448150635,4.407800980252797,5.4519790780113135
44229,8.319444444444445,6.598103744506836,5.641103744506836,4.6814565338441785,5.474338383455841
44239,8.319444444444445,6.091273052215576,5.134273052215576,5.206516420271319,5.554554493190919
44249,8.319444444444445,5.814128620147705,4.857128620147705,5.496902032891505,5.625907682645019
44259,8.319444444444445,5.840047580718994,4.883047580718994,6.553701297699876,6.258445651637209
44269,8.319444444444445,6.4425175018310545,5.485517501831055,6.192746779137079,6.29622283883024
44279,8.319444444444445,5.748802406311035,4.791802406311035,5.748164401234453,5.748456395230175
44289,8.330555555555556,6.7986128158569334,5.841612815856934,5.094372773012905,5.803456733982108
44299,8.330555555555556,6.372501594543457,5.415501594543457,5.900769896042652,6.101002614257492
44309,8.330555555555556,5.689719898223877,4.732719898223877,6.500691388508301,6.1474704289106885
44319,8.330555555555556,6.028209907531738,5.071209907531738,5.664668614471114,5.8226542721878065
44329,8.330555555555556,7.059091789245605,6.1020917892456055,6.114776366617983,6.530256817826258
44339,8.330555555555556,6.841012222290039,5.884012222290039,6.857703286891944,6.850576846166333
44349,8.330555555555556,6.397188407897949,5.440188407897949,4.591434161074168,5.3257697112090305
44359,8.330555555555556,6.357591373443603,5.4005913734436035,5.247859636811633,5.724021823322877
