t_idx,x,y,heading,velocity,ds_imu,ds_corr
0,0.0,0.0,0.0,0.0,0.0,0.0
90,12.543241172397314,98.65749635710894,0.072786547774128,0.0,0.30579507548656226,99.1458740234375
180,46.82505447386992,-37.57267834329791,4.280141785632456,0.788967767863344,6.765986004917247,133.71142578125
270,-29.396381253955532,87.7585318744989,3.114126147082722,0.25687016558909215,2.6171516932330188,144.0717010498047
360,106.06444511069031,23.230729573414663,2.597246880791279,1.635639993992869,1.6113697283933515,148.43353271484375
450,-2.11825154217901,138.81779338858047,4.342497631128097,0.0,8.957650867926196,149.35806274414062
540,-4.165080285462971,270.43096692421744,0.037294751952326594,0.0,0.007659120020213473,131.62142944335938
630,-103.26097724122981,208.63565724548613,3.086736391319303,0.05792277100336625,0.013039496581213702,116.77162170410156
720,-232.40010521441388,132.24951117022255,5.129162974675962,0.966309646749399,1.5023677095649342,148.5368194580078
736,-366.56177427569935,196.89127668903228,5.175629280727225,0.0,0.4447025065382183,148.47779846191406
