acc_x,acc_y,acc_z,acc_lin_x,acc_lin_y,acc_lin_z,gyro_x,gyro_y,gyro_z,acc_veh_fwd,gyro_veh_yaw_rate,dt_sec
0.3100491166114807,1.928529500961304,9.923367500305176,0.1029485315084457,-0.1201879978179931,0.3186283111572265,-0.0869521424174308,-0.0033289489801973,-0.0346210673451423,0.10324818573231556,0.0344304005626785,0.1
0.0802057534456253,2.117671489715576,9.075819969177246,0.0286154299974441,0.0186474323272705,-0.7243938446044922,0.1751027107238769,0.3961449265480041,-0.0095873726531863,0.01701009736259857,-0.07366293775646456,0.09999990463256836
-0.0347159244120121,2.098517894744873,9.822811126708984,0.0264219343662261,-0.0060417652130126,0.1672134399414062,-0.0043942127376794,-0.0342215932905674,-0.0447410717606544,0.03094367922085572,0.05104237986776527,0.09999990463256836
0.1304839998483657,2.0649988651275635,9.777320861816406,0.112026572227478,-0.036489725112915,0.1218414306640625,0.0089215831831097,-0.033156331628561,0.0117178997024893,0.11420525295424772,-0.003948617533689452,0.09999990463256836
0.1735796183347702,2.0649988651275635,9.782109260559082,0.0948597267270088,-0.0769147872924804,0.1282682418823242,0.0669784545898437,0.0094542149454355,0.0106526361778378,0.09634810212084285,-0.011562714147668466,0.09999990463256836
0.3746925592422485,2.0626046657562256,9.834781646728516,0.2217646986246109,-0.1095943450927734,0.1937437057495117,0.1047953143715858,-0.1764342933893203,0.0543284453451633,0.2228211634048005,-0.012117865535123645,0.09999990463256836
0.6524199843406677,2.127248287200928,9.37748908996582,0.0868653059005737,-0.10060715675354,-0.1999406814575195,0.1756353378295898,-0.1545963883399963,0.0133157959207892,0.08751717602051366,0.024447952125117155,0.09999990463256836
0.7410054206848145,2.234987258911133,9.43255615234375,0.1971295773983001,-0.1522753238677978,-0.0475988388061523,0.1671132296323776,-0.0693752914667129,-0.0106526361778378,0.1979763712669136,0.02635221105038482,0.09999990463256836
0.1616086214780807,2.6228480339050293,9.066243171691896,-0.1490131318569183,0.0259978771209716,-0.4709205627441406,0.0691089779138565,0.0749679282307624,0.0335558056831359,-0.14663876532472547,-0.052853504685115626,0.09999990463256836
0.3507505357265472,2.6228480339050293,9.39903736114502,0.0420649871230125,-0.0027995109558105,-0.1009225845336914,0.0680437162518501,0.0099868467077612,0.0260989591479301,0.042541010952175225,-0.028165978604620806,0.09999990463256836
0.1687912195920944,2.5917234420776367,9.516353607177734,-0.0271294545382261,-0.0763511657714843,0.1026754379272461,0.091479517519474,0.0600542388856411,0.0042610545642673,-0.02727958063198672,-0.020964346148365877,0.09999990463256836
0.2334346622228622,2.7688941955566406,9.504382133483888,0.010240476578474,0.0247080326080322,0.0620050430297851,0.0621847659349441,0.0387489646673202,0.0127831641584634,0.010201835962079383,-0.023378340264464684,0.09999990463256836
0.2861070930957794,2.78086519241333,9.602544784545898,0.0770628526806831,-0.0275483131408691,0.176732063293457,0.0717721357941627,0.0057257921434938,0.0031957910396158,0.0771999650314082,-0.004670759594152281,0.09999990463256836
0.2885012924671173,2.8383262157440186,9.382277488708496,0.0590281784534454,-0.0468945503234863,-0.0168914794921875,0.0781637206673622,-0.0091878985986113,0.0063915820792317,0.05906486345003634,-0.003429275782570269,0.09999990463256836
0.1735796183347702,2.946065187454224,9.379883766174316,-0.0520966239273548,-0.03629732131958,0.0071525573730468,0.09733846783638,0.0456731803715229,0.0063915820792317,-0.0520982867582746,-0.020128411733230312,0.09999990463256836
0.2214636504650116,3.0154969692230225,9.291297912597656,0.0147770857438445,-0.010843276977539,-0.0122652053833007,0.0632500275969505,-0.0049268445000052,0.0069242138415575,0.014756936556837774,-0.004929236176074689,0.09999990463256836
0.3100491166114807,3.1256303787231445,9.320028305053713,0.0702887549996376,-0.0007452964782714,-0.0324478149414062,0.0584563426673412,-0.0267647486180067,-0.0037284228019416,0.07035847601425203,0.012014320180021045,0.09999990463256836
0.3507505357265472,3.1423897743225098,9.315239906311035,0.0405886098742485,-0.0253360271453857,-0.0049772262573242,0.0600542388856411,-0.0603205524384975,-0.0133157959207892,0.04062529550769481,0.032148588495911914,0.09999990463256836
0.3052607178688049,3.2118215560913086,9.209895133972168,0.0556016601622104,-0.0053575038909912,-0.0387840270996093,0.0552605502307415,0.0046605286188423,-0.021837905049324,0.055744813676771886,0.018842189080725408,0.09999990463256836
0.2262520641088485,3.25491714477539,9.025542259216309,0.0060485117137432,0.0181140899658203,-0.2157087326049804,0.0387489646673202,0.010519478470087,-0.02769685536623,0.006582514173532188,0.022424131977471944,0.09999990463256836
0.1161187812685966,3.3004069328308105,9.176376342773438,-0.056405521929264,0.031010627746582,-0.02899169921875,0.0179763231426477,0.0339552797377109,-0.015978954732418,-0.056428950891301344,0.003534645438136086,0.09999990463256836
0.1472434103488922,3.2836475372314453,9.269750595092772,-0.0228438824415206,0.0289568901062011,0.0805864334106445,0.0233026426285505,0.002530001103878,-0.0005326318205334,-0.022451644441513888,-0.000252240080140368,0.09999990463256836
0.1735796183347702,3.2980127334594727,9.2841157913208,0.0126050673425197,0.0230515003204345,0.1014919281005859,-0.0001331579551333,0.0131826372817158,0.0154463229700922,0.01309731436100843,-0.019010671167768802,0.09999990463256836
0.243011474609375,3.278859138488769,9.209895133972168,0.0867635458707809,0.0137922763824462,-0.0478019714355468,-0.005459476262331,-0.01344895362854,0.0207726415246725,0.0866297987382514,-0.01494397951181992,0.09999990463256836
0.2310404628515243,3.3291375637054443,9.047089576721191,0.0009105037897825,0.0488526821136474,-0.1430597305297851,0.0233026426285505,-0.0267647486180067,0.0154463229700922,0.0006325807839644792,-0.005286497568851916,0.09999990463256836
0.1592144072055816,3.3458969593048096,9.229048728942873,-0.0257929004728794,0.0182535648345947,-0.0305261611938476,0.0227700099349021,0.0019973693415522,0.0090547408908605,-0.025817671271835884,-0.009163973177172302,0.09999990463256836
